xref_pfam,count,pfam_name
PF03717,1,Penicillin-binding Protein dimerisation domain (domain)
PF03217,1,Surface layer protein A domain (domain)
PF03181,1,BURP domain (family)
PF03900,1,"Porphobilinogen deaminase, C-terminal domain (domain)"
PF00355,1,Rieske [2Fe-2S] domain (domain)
PF00395,1,S-layer homology domain (repeat)
PF02823,1,"ATP synthase, Delta/Epsilon chain, beta-sandwich domain (domain)"
PF00383,1,Cytidine and deoxycytidylate deaminase zinc-binding region (domain)
PF02843,1,"Phosphoribosylglycinamide synthetase, C domain (domain)"
PF02844,1,"Phosphoribosylglycinamide synthetase, N domain (domain)"
PF00377,1,Prion/Doppel alpha-helical domain (domain)
PF02868,1,"Thermolysin metallopeptidase, alpha-helical domain (domain)"
PF02884,1,"Polysaccharide lyase family 8, C-terminal beta-sandwich domain (domain)"
PF02894,1,"Oxidoreductase family, C-terminal alpha/beta domain (domain)"
PF02911,1,"Formyl transferase, C-terminal domain (domain)"
PF00362,1,Integrin beta chain VWA domain (domain)
PF02954,1,"Bacterial regulatory protein, Fis family (domain)"
PF02979,1,"Nitrile hydratase, alpha chain (domain)"
PF03003,1,Pox virus entry-fusion-complex G9/A16 (family)
PF03009,1,Glycerophosphoryl diester phosphodiesterase family (family)
PF03099,1,Biotin/lipoate A/B protein ligase family (domain)
PF03105,1,SPX domain (domain)
PF03119,1,NAD-dependent DNA ligase C4 zinc finger domain (domain)
PF03120,1,NAD-dependent DNA ligase OB-fold domain (domain)
PF03124,1,EXS family (family)
PF03160,1,Calx-beta domain (domain)
PF03781,1,Sulfatase-modifying factor enzyme 1 (domain)
PF03906,1,Phage T7 tail fibre protein (family)
PF05416,1,Southampton virus-type processing peptidase (family)
PF04909,1,Amidohydrolase (domain)
PF04962,1,KduI/IolB family (domain)
PF04972,1,BON domain (domain)
PF00326,1,Prolyl oligopeptidase family (domain)
PF04983,1,"RNA polymerase Rpb1, domain 3 (domain)"
PF04998,1,"RNA polymerase Rpb1, domain 5 (domain)"
PF05000,1,"RNA polymerase Rpb1, domain 4 (domain)"
PF05014,1,Nucleoside 2-deoxyribosyltransferase (domain)
PF05043,1,Mga helix-turn-helix domain (domain)
PF05130,1,FlgN protein (family)
PF05159,1,Capsule polysaccharide biosynthesis protein (family)
PF05191,1,"Adenylate kinase, active site lid (domain)"
PF05219,1,DREV methyltransferase (family)
PF00314,1,Thaumatin family (domain)
PF05258,1,"Dna[CI] antecedent, DciA (family)"
PF05266,1,Protein of unknown function (DUF724) (family)
PF05362,1,Lon protease (S16) C-terminal proteolytic domain (domain)
PF00304,1,Gamma-thionin family (domain)
PF05400,1,Flagellar protein FliT (family)
PF00301,1,Rubredoxin (domain)
PF05407,1,Rubella virus endopeptidase (family)
PF00300,1,Histidine phosphatase superfamily (branch 1) (domain)
PF04924,1,Poxvirus A6 protein (family)
PF04845,1,PurA ssDNA and RNA-binding protein (family)
PF03909,1,BSD domain (domain)
PF04829,1,Pre-toxin domain with VENN motif (family)
PF03922,1,OmpW family (family)
PF00340,1,Interleukin-1 / 18 (domain)
PF03987,1,"Autophagocytosis associated protein, active-site domain (domain)"
PF03992,1,Antibiotic biosynthesis monooxygenase (domain)
PF04019,1,Protein of unknown function (DUF359) (family)
PF04023,1,FeoA domain (domain)
PF04053,1,COPA/B second beta-propeller (repeat)
PF04089,1,BRICHOS domain (domain)
PF04130,1,Gamma tubulin complex component C-terminal (domain)
PF04227,1,Indigoidine synthase A like protein (family)
PF04253,1,Transferrin receptor-like dimerisation domain (domain)
PF04261,1,"Dyp-type peroxidase, N-terminal (domain)"
PF04266,1,ASCH domain (domain)
PF04321,1,RmlD substrate binding domain (domain)
PF04368,1,Protein of unknown function (DUF507) (family)
PF04389,1,Peptidase family M28 (domain)
PF04392,1,ABC transporter substrate binding protein (family)
PF04454,1,Encapsulating protein for peroxidase (family)
PF04584,1,Poxvirus A28 family (family)
PF04622,1,ERG2 and Sigma1 receptor like protein (family)
PF04704,1,Zfx / Zfy transcription activation region (family)
PF04461,1,Protein of unknown function (DUF520) (family)
